Variable 1,Variable 2,Correlation
dbp_tilt,mbp_hv,0.56984739
mean_mcal_supine_rebreathing,age_residual_mean_mcar_baseline,0.569544208
mean_mcal_supine_rebreathing,age_adjusted_mean_mcar_baseline,0.568748019
diast_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.568584059
mbp_tilt,dbp_supine_rebreathing,0.563735308
o2_base,o2_tilt_pct,-0.563419714
mbp,mbp_supine_rebreathing,0.560977714
tilt_mn_hr_tilt,hyper_mn_hr_hyperventilation,0.559853038
mean_mcal_baseline,mean_mcar_standeo,0.557855662
co2_baseline,co2_hyper_pct,-0.557777959
mean_mcar_baseline,mean_mcal_siteo,0.556863679
mean_mcal_baseline,mean_mcar_tilt,0.556567325
mean_mcal_siteo,mean_mcar_standeo,0.55607121
co2_base,co2_hyper_pct,-0.555995231
mbp,24hour_nighttime_dbp,0.555248399
mean_mcar_tilt,mean_mcal_tilt,0.554776346
mbp_tilt,mbp_supine_rebreathing,0.55313028
mean_mcar_baseline,mean_mcal_supine_rebreathing,0.552467486
mean_mcal_tilt,age_residual_mean_mcar_baseline,0.551015192
mean_mcal_tilt,age_adjusted_mean_mcar_baseline,0.549942186
mean_mcal_baseline,co2_reactivity_mcar,0.547105803
mean_mcar_supine_rebreathing,mean_mcar_siteo,0.546915481
age_adjusted_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcar,0.54637446
24hour_nighttime_sbp,24hour_mbpdippct,-0.546266217
baseline_mean_hr_bp_baseline,hyper_mn_hr_hyperventilation,0.545197974
age_residual_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcar,0.544779529
syst_mcar_baseline,mean_mcal_siteo,0.543746887
mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcar,0.543160334
mbp_hv,mean_bp_standeo,0.542443999
dbp_tilt,mean_bp_siteo,0.541967496
mbp_tilt,delta_mean_bp_tilt_baseline,0.541633869
mbp,24hour_daytime_dbp,0.53921367
sbp_tilt,sbp_supine_rebreathing,0.537707245
sbp_baseline,24hour_nighttime_dbp,0.53522235
mean_mcar_tilt,co2_reactivity_baseline_2_hyper_mcar,0.534336687
hrv_sdnn,hrv_lf,0.534295882
mbp_tilt,sbp_hv,0.533005501
mean_mcal_tilt,mean_mcar_standeo,0.53244042
mean_mcar_tilt,co2_reactivity_baseline_2_hyper_mcal,0.525210124
sbp_baseline,mbp_supine_rebreathing,0.524587252
hrv_avnn,hrv_pnn50,0.524402878
mbp,mean_bp_standeo,0.524129117
mean_mcar_supine_rebreathing,age_residual_mean_mcal_baseline,0.523026132
diast_mcar_baseline,mean_mcal_siteo,0.522457288
mean_mcar_supine_rebreathing,age_adjusted_mean_mcal_baseline,0.522136228
sbp_tilt,24hour_nighttime_dbp,0.521308525
mean_mcar_baseline,mean_mcal_standeo,0.514903296
hyper_mn_hr_hyperventilation,hypo_mn_hr_supine_rebreathing,0.512923536
hrv_sdann,hrv_pnn50,0.512358414
syst_mcar_baseline,mean_mcal_standeo,0.511057507
mbp,24hour_nighttime_sbp,0.510397317
dbp_tilt,mbp_supine_rebreathing,0.509466362
sbp_hv,24hour_nighttime_sbp,0.509301391
mean_mcar_siteo,mean_mcal_siteo,0.506879364
diast_mcar_baseline,mean_mcal_tilt,0.505924885
mean_mcal_tilt,co2_reactivity_mcar,0.505816922
mean_mcal_baseline,mean_mcar_supine_rebreathing,0.50514456
mean_mcal_siteo,age_residual_mean_mcar_baseline,0.505055096
mean_mcal_siteo,age_adjusted_mean_mcar_baseline,0.503982722
sbp_baseline,24hour_daytime_dbp,0.502576103
mean_mcar_standeo,co2_reactivity_baseline_2_hyper_mcal,0.501836297
hrv_sdann,hrv_rmssd,0.501518125
mean_mcal_tilt,co2_reactivity_baseline_2_hyper_mcar,0.500951065
